TCONS_00000001 CICP27
TCONS_00000002 RP4-669L17.2
TCONS_00000003 MTND1P23
TCONS_00000004 MTND2P28
TCONS_00000005 MTCO1P12
TCONS_00000006 MTCO2P12
TCONS_00000007 MTATP6P1
TCONS_00000008 MTCO3P12
TCONS_00000009 RP11-206L10.9
TCONS_00000010 RP11-206L10.9
TCONS_00000011 RP11-206L10.9
TCONS_00000013 LINC01128
TCONS_00000014 LINC01128
TCONS_00000016 LINC01128
TCONS_00000017 TUBB8P11
TCONS_00000018 KLHL17
TCONS_00000019 KLHL17
TCONS_00000020 ISG15
TCONS_00000021 AGRN
TCONS_00000024 AGRN
TCONS_00000025 RP11-465B22.8
TCONS_00000026 B3GALT6
TCONS_00000027 LINC01786
TCONS_00000028 PUSL1
TCONS_00000030 CPTP
TCONS_00000031 CPTP
TCONS_00000032 CPTP
TCONS_00000034 RP4-758J18.2
TCONS_00000035 RP4-758J18.2
TCONS_00000036 RP4-758J18.2
TCONS_00000037 RP4-758J18.2
TCONS_00000038 RP4-758J18.2
TCONS_00000039 RP4-758J18.13
TCONS_00000040 VWA1
TCONS_00000041 VWA1
TCONS_00000042 ATAD3C
TCONS_00000043 ATAD3B
TCONS_00000044 ATAD3B
TCONS_00000046 ATAD3B
TCONS_00000047 ATAD3A
TCONS_00000048 ATAD3A
TCONS_00000051 ATAD3A
TCONS_00000052 RP5-832C2.5
TCONS_00000053 MIB2
TCONS_00000054 MIB2
TCONS_00000056 MIB2
TCONS_00000057 MIB2
TCONS_00000060 MIB2
TCONS_00000062 MIB2
TCONS_00000064 MIB2
TCONS_00000066 MIB2
TCONS_00000069 MMP23B
TCONS_00000070 MMP23B
TCONS_00000071 MMP23B
TCONS_00000072 RP11-345P4.10
TCONS_00000073 RP11-345P4.6
TCONS_00000076 RP1-283E3.4
TCONS_00000078 PRKCZ
TCONS_00000079 PRKCZ
TCONS_00000080 PRKCZ
TCONS_00000081 PRKCZ
TCONS_00000082 PRKCZ
TCONS_00000083 PRKCZ
TCONS_00000084 PRKCZ
TCONS_00000085 PRKCZ
TCONS_00000086 PRKCZ
TCONS_00000087 PRKCZ
TCONS_00000089 PRKCZ
TCONS_00000090 PRKCZ
TCONS_00000091 PRKCZ
TCONS_00000092 PRKCZ
TCONS_00000093 PRKCZ
TCONS_00000095 PRKCZ
TCONS_00000096 PRKCZ
TCONS_00000097 PRKCZ
TCONS_00000098 PRKCZ
TCONS_00000099 PRKCZ
TCONS_00000100 SKI
TCONS_00000101 SKI
TCONS_00000102 RER1
TCONS_00000103 RER1
TCONS_00000104 RER1
TCONS_00000105 RER1
TCONS_00000107 RER1
TCONS_00000108 RP3-395M20.12
TCONS_00000110 TNFRSF14
TCONS_00000114 TNFRSF14
TCONS_00000117 FAM213B
TCONS_00000118 FAM213B
TCONS_00000120 FAM213B
TCONS_00000121 ARHGEF16
TCONS_00000122 ARHGEF16
TCONS_00000123 ARHGEF16
TCONS_00000124 TPRG1L
TCONS_00000125 TPRG1L
TCONS_00000126 RN7SL574P
TCONS_00000127 RP1-286D6.5
TCONS_00000128 DFFB
TCONS_00000129 KCNAB2
TCONS_00000131 RNF207
TCONS_00000135 LINC00337
TCONS_00000136 ZBTB48
TCONS_00000138 ZBTB48
TCONS_00000139 PHF13
TCONS_00000141 THAP3
TCONS_00000142 THAP3
TCONS_00000144 CAMTA1
TCONS_00000145 CAMTA1
TCONS_00000146 CAMTA1
TCONS_00000147 CAMTA1
TCONS_00000148 CAMTA1
TCONS_00000149 VAMP3
TCONS_00000153 PER3
TCONS_00000154 PARK7
TCONS_00000155 PARK7
TCONS_00000156 PARK7
TCONS_00000157 PARK7
TCONS_00000158 PARK7
TCONS_00000160 RP5-1115A15.2
TCONS_00000161 RPL7P11
TCONS_00000162 RP4-633I8.3
TCONS_00000163 LINC01759
TCONS_00000164 H6PD
TCONS_00000165 H6PD
TCONS_00000167 SPSB1
TCONS_00000168 SPSB1
TCONS_00000169 SLC25A33
TCONS_00000170 RP13-15M17.1
TCONS_00000171 TMEM201
TCONS_00000172 TMEM201
TCONS_00000173 PIK3CD
TCONS_00000174 NMNAT1
TCONS_00000175 RN7SKP269
TCONS_00000176 MIR5697
TCONS_00000177 RBP7
TCONS_00000178 UBE4B
TCONS_00000179 UBE4B
TCONS_00000180 UBE4B
TCONS_00000181 UBE4B
TCONS_00000182 UBE4B
TCONS_00000183 RNU6-828P
TCONS_00000187 RNU6-37P
TCONS_00000188 PGD
TCONS_00000189 PGD
TCONS_00000192 CENPS
TCONS_00000193 CENPS
TCONS_00000194 CENPS
TCONS_00000195 CORT
TCONS_00000196 PEX14
TCONS_00000197 RN7SL614P
TCONS_00000198 TARDBP
TCONS_00000199 TARDBP
TCONS_00000205 RP4-635E18.8
TCONS_00000207 UBIAD1
TCONS_00000208 FBXO44
TCONS_00000210 FBXO44
TCONS_00000211 FBXO6
TCONS_00000212 AGTRAP
TCONS_00000213 AGTRAP
TCONS_00000214 AGTRAP
TCONS_00000215 AGTRAP
TCONS_00000216 AGTRAP
TCONS_00000217 CLCN6
TCONS_00000218 CLCN6
TCONS_00000219 CLCN6
TCONS_00000221 NPPA-AS1
TCONS_00000223 RNU5E-1
TCONS_00000224 PLOD1
TCONS_00000225 PLOD1
TCONS_00000226 MFN2
TCONS_00000228 MFN2
TCONS_00000231 MIIP
TCONS_00000232 MIIP
TCONS_00000233 MIIP
TCONS_00000234 MIIP
TCONS_00000235 MIIP
TCONS_00000236 MIIP
TCONS_00000237 TNFRSF1B
TCONS_00000238 MIR4632
TCONS_00000240 VPS13D
TCONS_00000241 VPS13D
TCONS_00000243 VPS13D
TCONS_00000244 VPS13D
TCONS_00000245 VPS13D
TCONS_00000249 PDPN
TCONS_00000250 PDPN
TCONS_00000251 PDPN
TCONS_00000257 PRDM2
TCONS_00000259 KAZN
TCONS_00000260 KAZN
TCONS_00000264 KAZN
TCONS_00000266 TMEM51
TCONS_00000267 TMEM51
TCONS_00000268 TMEM51
TCONS_00000269 TMEM51
TCONS_00000270 EFHD2
TCONS_00000271 DNAJC16
TCONS_00000272 DNAJC16
TCONS_00000273 DNAJC16
TCONS_00000274 DNAJC16
TCONS_00000275 DNAJC16
TCONS_00000276 DDI2
TCONS_00000277 DDI2
TCONS_00000278 DDI2
TCONS_00000282 PLEKHM2
TCONS_00000283 PLEKHM2
TCONS_00000284 SLC25A34
TCONS_00000293 FBLIM1
TCONS_00000298 SPEN
TCONS_00000299 RP11-5P18.1
TCONS_00000301 SZRD1
TCONS_00000302 SZRD1
TCONS_00000303 SZRD1
TCONS_00000305 SZRD1
TCONS_00000306 SZRD1
TCONS_00000307 NECAP2
TCONS_00000308 NECAP2
TCONS_00000309 NECAP2
TCONS_00000310 NECAP2
TCONS_00000311 NECAP2
TCONS_00000312 NECAP2
TCONS_00000314 RP4-798A10.7
TCONS_00000315 RP5-1182A14.5
TCONS_00000316 RNU1-4
TCONS_00000317 RP11-108M9.5
TCONS_00000318 RNU1-2
TCONS_00000320 CROCC
TCONS_00000324 ARHGEF10L
TCONS_00000325 ARHGEF10L
TCONS_00000327 ARHGEF10L
TCONS_00000328 RP1-43E13.2
TCONS_00000329 MRTO4
TCONS_00000330 PQLC2
TCONS_00000331 PQLC2
