gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,BH,BY,bf
LEP,15.4148127284686,1.83144694957491,0.420294677373838,2.60082915348705e-08,0.00032622932796154,0.00032622932796154,0.00332847622630039,0.000393973600170218
PAPPA2,225.557044784725,1.53199029070456,0.268445377365978,4.30722640561842e-08,0.00032622932796154,0.00032622932796154,0.00332847622630039,0.000652458655923079
CD164,19089.7115619608,-1.24312458563188,0.233927103357503,2.39207559190904e-06,0.00909303748511976,0.00909303748511976,0.0927751017457497,0.0362351610662381
LY6G6D,178.293900375796,-1.27068618062477,0.242539966726805,2.40111895566933e-06,0.00909303748511976,0.00909303748511976,0.0927751017457497,0.036372149940479
PDIA5,3717.63238465486,-1.41639546963386,0.312780798024883,5.23036784068527e-06,0.0137490724987601,0.0137490724987601,0.140280033164886,0.0792296120507005
ADRA2A,1360.80178559698,-1.3258393589439,0.278748265277574,6.47885762586064e-06,0.0137490724987601,0.0137490724987601,0.140280033164886,0.098141735316537
ARHGEF25,56.9079850894355,1.28383030072343,0.267380194437129,8.20549626865914e-06,0.0137490724987601,0.0137490724987601,0.140280033164886,0.124296857477649
VSIG2,8956.75131669579,-1.2941697610938,0.271759003380879,8.40229166216716e-06,0.0137490724987601,0.0137490724987601,0.140280033164886,0.127277914098508
LMLN,1882.20508264692,-1.17802111774087,0.232580734599775,9.21593694983126e-06,0.0137490724987601,0.0137490724987601,0.140280033164886,0.139603012916044
ABAT,7742.42794421062,-1.1998485086055,0.240148885897546,9.42924623682385e-06,0.0137490724987601,0.0137490724987601,0.140280033164886,0.142834221995408
MAP1A,40841.9268518919,-1.27875844375931,0.269309242039068,9.98414295526542e-06,0.0137490724987601,0.0137490724987601,0.140280033164886,0.151239797486361
SYNM,19794.4609034975,-1.28456951017389,0.277252760525845,1.30962671273589e-05,0.0165318545371027,0.0165318545371027,0.168672403389464,0.198382254445233
HBQ1,1858.53711184544,-1.18148156910326,0.241597089110818,1.50719320748488e-05,0.0170100252055545,0.0170100252055545,0.173551117734373,0.228309627069809
RAB6B,19826.2767943071,-1.27467447394375,0.277260063842542,1.57209105411779e-05,0.0170100252055545,0.0170100252055545,0.173551117734373,0.238140352877762
LINC01088,35.7762493059582,-1.26524898174897,0.277573625554149,1.89354476436847e-05,0.0173211854109111,0.0173211854109111,0.176725845624633,0.286834160906536
SEPT14P2,226.9191593786,-1.22465691205027,0.26152127721079,1.89899266732242e-05,0.0173211854109111,0.0173211854109111,0.176725845624633,0.287659409246001
C1orf112,1568.0479943341,-0.982592943958121,0.182508976415763,1.97268182361542e-05,0.0173211854109111,0.0173211854109111,0.176725845624633,0.298821842641263
CRAT,21041.0392249743,-1.17177242177568,0.243588700091383,2.05823433718247e-05,0.0173211854109111,0.0173211854109111,0.176725845624633,0.311781337396401
ODC1,136289.426153805,-1.16390821577595,0.242858239955023,2.31194751420794e-05,0.0184323057606431,0.0184323057606431,0.188062464842012,0.350213809452219
FADS2,4537.96792083284,-1.0695294031385,0.214566103899453,2.9339860163304e-05,0.0201325064732251,0.0201325064732251,0.205409395870958,0.444440201753728
MTMR2,13613.5283505891,-1.11088747417973,0.229880469042126,3.2024243049456e-05,0.0201325064732251,0.0201325064732251,0.205409395870958,0.48510323371316
TLR5,26009.7833073029,-1.20115913820601,0.263246507353256,3.20328301797602e-05,0.0201325064732251,0.0201325064732251,0.205409395870958,0.485233311563008
ADCY3,9571.85131853756,-1.25968289369247,0.288905394545669,3.3113594978689e-05,0.0201325064732251,0.0201325064732251,0.205409395870958,0.501604736737181
DPY19L3,2216.67141979479,-1.02880286735469,0.203219505012278,3.32621824618077e-05,0.0201325064732251,0.0201325064732251,0.205409395870958,0.503855539931463
SCFD2,53665.1152519058,-1.14197299071629,0.241820824556396,3.37271619626742e-05,0.0201325064732251,0.0201325064732251,0.205409395870958,0.510899049410589
ARHGAP21,87085.1399454717,-1.15947316528404,0.249373115190831,3.57006767192188e-05,0.0201325064732251,0.0201325064732251,0.205409395870958,0.540793850942727
KATNAL1,4591.60136541509,-1.1666690804156,0.252595341192053,3.65992863934117e-05,0.0201325064732251,0.0201325064732251,0.205409395870958,0.554405990287401
EFHC1,1237.73271302625,-1.03467411432944,0.206708704051283,3.7213505495795e-05,0.0201325064732251,0.0201325064732251,0.205409395870958,0.563710181250303
RP11-299G20.5,207.300201124458,-1.27692416891987,0.302132929474933,3.93800069758504e-05,0.0201362068981184,0.0201362068981184,0.205447150834197,0.596528345670181
ZNF257,591.956901563061,-1.26713169393923,0.297857712825192,4.0182134972955e-05,0.0201362068981184,0.0201362068981184,0.205447150834197,0.608678980570323
POMGNT2,853.504989823589,-1.06000613897631,0.216840837292316,4.17840039995284e-05,0.0201362068981184,0.0201362068981184,0.205447150834197,0.632944092584855
LINC01521,126.740076284541,-1.14259883174322,0.246937276303707,4.35554312369684e-05,0.0201362068981184,0.0201362068981184,0.205447150834197,0.659777672377597
RHOBTB1,29541.8600019991,-1.13743095888897,0.245135348489373,4.38668357299913e-05,0.0201362068981184,0.0201362068981184,0.205447150834197,0.664494827637908
SRPRA,18122.6126041927,-1.04010320076965,0.211954149836737,4.68646295096694e-05,0.0201760105135465,0.0201760105135465,0.205853262045904,0.709905407812472
LINC01873,13.1725372096056,1.3023474190738,0.323565226535756,4.87394349343162e-05,0.0201760105135465,0.0201760105135465,0.205853262045904,0.738304960385022
ADCY6,4106.47909947163,-1.09637898173957,0.233250641637388,5.20170486782725e-05,0.0201760105135465,0.0201760105135465,0.205853262045904,0.787954253378472
FMO5,2164.49282907849,-1.03672593414581,0.212579392612185,5.24555007451067e-05,0.0201760105135465,0.0201760105135465,0.205853262045904,0.794595925286876
NPRL3,20255.2621669116,-0.989250332248502,0.196997677743201,5.271404385789e-05,0.0201760105135465,0.0201760105135465,0.205853262045904,0.798512336359318
TMEM189,16165.7830133953,-1.13508907234083,0.248030971758427,5.30339556905212e-05,0.0201760105135465,0.0201760105135465,0.205853262045904,0.803358360800015
CDIP1,11271.0993917154,-1.07404968618445,0.225704434567508,5.32770280262648e-05,0.0201760105135465,0.0201760105135465,0.205853262045904,0.807040420541858
DPY19L1,14518.7318696644,-1.14027800718838,0.251888123962605,5.79566747218441e-05,0.0206375998390604,0.0206375998390604,0.210562799063583,0.877927708686494
EMD,18200.7845954429,-1.05299192274268,0.220526706235257,6.06166602708413e-05,0.0206375998390604,0.0206375998390604,0.210562799063583,0.918221169782704
STRIP2,2426.5070177561,-1.11746684805346,0.245441511753236,6.50776172127945e-05,0.0206375998390604,0.0206375998390604,0.210562799063583,0.985795745539411
SLC44A1,16465.9648996451,-1.09901389106814,0.238479645290278,6.52078851651638e-05,0.0206375998390604,0.0206375998390604,0.210562799063583,0.987769044481902
KCNMB1,2794.52084371789,-1.15396959258756,0.260654415445111,6.71786320968561e-05,0.0206375998390604,0.0206375998390604,0.210562799063583,1
