gene_id,logFC,unshrunk.logFC,logCPM,PValue,FDR,BH,BY,bf
PAPPA2,1.93907189238452,1.93954778474465,1.03192487800955,7.7143218003256e-10,8.75260989193699e-06,8.75260989193699e-06,8.93029179284149e-05,1.16871975274933e-05
LEP,3.44400433849245,3.48620592068972,-2.70575558794496,1.15546005174086e-09,8.75260989193699e-06,8.75260989193699e-06,8.93029179284149e-05,1.7505219783874e-05
ARHGEF25,1.63073828224135,1.63293880292953,-0.948254441182886,5.69946720251283e-07,0.00287823093726898,0.00287823093726898,0.0293666031439079,0.00863469281180694
NUPR1,1.21127698497927,1.2124448796474,-0.462417580504454,5.0711459504082e-06,0.0119630683165078,0.0119630683165078,0.122059239613236,0.0768278611486843
LINC01873,1.85344844446662,1.86801059822823,-2.89909141102845,5.36133563441956e-06,0.0119630683165078,0.0119630683165078,0.122059239613236,0.0812242348614564
LY6G6D,-1.44756707482308,-1.44905656858293,0.624469083389095,7.0372965822332e-06,0.0119630683165078,0.0119630683165078,0.122059239613236,0.106615043220833
CD164,-1.38577613317687,-1.38579081424067,7.38499993237514,8.03170883942772e-06,0.0119630683165078,0.0119630683165078,0.122059239613236,0.12168038891733
C1orf112,-1.01618108984149,-1.01629838598814,3.73948934861711,1.01391999374819e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.15360887905285
LMLN,-1.31246781251978,-1.31260199513014,4.0269453939538,1.3596081425307e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.205980633593401
WDR86,1.83285218055243,1.8405823177979,-2.38734543651156,1.37405695020103e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.208169627955456
IGSF10,1.96482154051119,1.97373193690138,-2.20203633101984,1.65617313552481e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.250910230032009
ABAT,-1.35138468601498,-1.3514173439804,6.05996443438034,1.66323704373969e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.251980412126564
KRT19,1.34057020301969,1.34116224153757,0.361095646000462,1.93500344511773e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.293153021935336
DPY19L3,-1.09408636308217,-1.09417537793372,4.26455214692238,2.01885740840374e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.305856897373166
AKNAD1,3.3704160528088,3.45113493478046,-4.57093712327289,2.09822784461725e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.317881518459513
FADS2,-1.14770522582658,-1.14774679030435,5.29477343516118,2.40228076270555e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.363945535549891
SLC24A1,0.927286924050854,0.927417328630494,2.40490562452588,2.51147706011144e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.380488774606883
EFHC1,-1.09791302431155,-1.09806790842407,3.398025689196,2.53088283622034e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.383428749687381
ZNF551,1.09131363889246,1.09169730471587,1.17827717945748,2.59847207270513e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.393668519014827
CGB7,3.15861410549746,3.28293059125616,-3.93468110021806,2.68619158791219e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.406958025568696
NPRL3,-1.03670990879431,-1.03671842005076,7.45382334660979,2.80729113437792e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.425304606858255
HBQ1,-1.33895943377293,-1.33906788703797,4.02734401095159,2.94692908378147e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.446459756192892
TEK,1.0434341658752,1.04371416828372,1.51333610142382,3.0828392900153e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.467050152437319
CCIN,3.14293767207268,3.17847714444593,-3.56508987144809,3.08899613375919e-05,0.0119630683165078,0.0119630683165078,0.122059239613236,0.467982914264517
